,Mun,Ncasos_lead,Ncasos_lagroll_15,Ncasos_lagroll_30,nHab,caudal,lluvia,sars_loess,sars_loess_15,sars_loess_30,Month
1324,VILASSAR DE DALT,-1.3659382322627673,-1.840738507507267,-1.9036944641359161,9072,21018.0,0.0,0.10158332426055833,0.026706662544614047,-0.014551444386235,7.0
1325,VILASSAR DE DALT,-0.6156261845045413,-1.568163247166415,-1.9036944641359161,9072,21700.0,0.0,-0.003150113662782197,-0.12038857000202102,-0.1257160834125146,7.0
1326,VILASSAR DE DALT,-0.9451119388153929,-1.6281000202030849,-1.824664908269023,9072,22524.0,0.0,-0.18698266966335328,-0.31182795508503386,-0.31232503688779734,7.0
1327,VILASSAR DE DALT,-1.4685084990406365,-0.9874246638150892,-1.2884928165911904,9072,23000.0,0.0,-0.3628354339868813,-0.5087390973105065,-0.5439025204142566,7.0
1328,VILASSAR DE DALT,-0.7607815744127332,-0.840952335711328,-1.196146407265409,9072,25000.0,0.0,-0.5591351340097362,-0.7206795585620868,-0.7784173733863327,8.0
1329,VILASSAR DE DALT,-0.8468170896215722,-1.2814525461455324,-1.178914029125907,9072,25276.0,0.0,-0.7564414068105995,-0.9070432883722183,-0.924654952958137,8.0
1330,VILASSAR DE DALT,-0.8942243889691274,-1.1364709005591205,-1.024869025807697,9072,25000.0,9.8,-0.8895245276406492,-0.8572429864970407,-0.8675419242015225,8.0
1331,VILASSAR DE DALT,-0.15987532799090112,-0.8865976245404101,-1.1135648149612951,9072,23341.0,0.0,-0.6803654257659939,-0.6152262501555515,-0.6087543577954033,8.0
1332,VILASSAR DE DALT,-0.19363539892913986,-0.9608936571321028,-1.0980538717965014,9072,25400.0,0.0,-0.44776908283777006,-0.3331167788192168,-0.3374313662452892,9.0
1333,VILASSAR DE DALT,-0.02652814156550821,-0.4829002830867133,-0.6919553344390776,9072,23169.0,0.0,-0.1648093385548,-0.10458914847738754,-0.16091424784146222,9.0
1334,VILASSAR DE DALT,0.1274118527936606,-0.21047790370895836,-0.5180067863120295,9072,26146.0,0.0,0.006499655552011735,-0.010316489736672135,-0.056161599154611615,9.0
1335,VILASSAR DE DALT,-0.26688506555044095,-0.13419442871702666,-0.3072017258836494,9072,25200.0,0.0,0.026062204548317355,-0.012538674053468424,-0.045523495049380046,9.0
1336,VILASSAR DE DALT,-0.6491173578303466,0.034520154597397566,-0.09077425558337464,9072,24800.0,0.0,0.0022090868884636736,-0.08665898204783878,-0.1193409787696659,10.0
1337,VILASSAR DE DALT,-0.8942243889691274,-0.06576309474044752,-0.11384023797627682,9072,26500.0,0.0,-0.1204476310194758,-0.23414322826082468,-0.21791749194835075,10.0
1338,VILASSAR DE DALT,-0.8468170896215722,-0.4829002830867133,-0.19258906095414574,9072,24800.0,0.0,-0.2809062863723408,-0.3406319005409319,-0.3248926127121586,10.0
1339,VILASSAR DE DALT,-1.3659382322627673,-0.840952335711328,-0.3725631638299347,9072,25900.0,0.0,-0.30885824335163914,-0.3576494411652272,-0.3939519704109962,10.0
1340,VILASSAR DE DALT,-0.6491173578303466,-0.9608936571321028,-0.7192741336552478,9072,28900.0,0.0,-0.31236797004011263,-0.36266476790056423,-0.39558585648814504,10.0
1341,VILASSAR DE DALT,-0.6491173578303466,-1.1701997609656154,-1.0389579233562654,9072,25750.0,0.0,-0.3182430860049812,-0.34824514858870087,-0.36824393804865363,11.0
1342,VILASSAR DE DALT,-0.6491173578303466,-1.0149427309868286,-1.0389579233562654,9072,26300.0,0.0,-0.285887341941057,-0.29846886000630296,-0.31827685051294174,11.0
1343,VILASSAR DE DALT,-0.5837132985125231,-0.7190869164151253,-0.9580852397720586,9072,25300.0,0.0,-0.22621277265951334,-0.231449687236825,-0.22735135834638037,11.0
1344,VILASSAR DE DALT,-0.06799476323967024,-0.7190869164151253,-0.8967172823899655,9072,22600.0,0.0,-0.16042354037083967,-0.1299193474413028,-0.1209194497588652,11.0
1345,VILASSAR DE DALT,-0.08243124159009196,-0.6826612158725347,-0.7380698930922654,9074,24300.0,0.0,-0.039435055420962414,-0.01678181788554202,-0.03724512095191399,0.0
1346,VILASSAR DE DALT,-0.06799476323967024,-0.31724655798240126,-0.5180067863120295,9074,23700.0,0.0,0.056082396319755035,0.03858701497479313,-0.00579238837954652,0.0
1347,VILASSAR DE DALT,-0.053874049834848926,-0.10290474428599458,-0.35563668089664896,9074,24700.0,0.0,0.06936225491248932,-0.006400297418627892,-0.03846359037632909,0.0
1348,VILASSAR DE DALT,-0.26688506555044095,-0.08779675544746926,-0.10994027876047441,9074,25800.0,0.0,-0.03364123400600119,-0.13246233832658727,-0.14432655424915206,1.0
1349,VILASSAR DE DALT,-0.5837132985125231,-0.2864193313738465,-0.20590657888626607,9074,24650.0,3.4,-0.17311400504475066,-0.3001365296739853,-0.32725582499271205,1.0
1350,VILASSAR DE DALT,-0.24779087593027554,-0.4313739671806389,-0.2570947311694908,9074,24140.0,0.0,-0.355880750736069,-0.5235197850166097,-0.5764460992702566,1.0
1351,VILASSAR DE DALT,-0.5837132985125231,-0.45665865321549937,-0.38991106132724435,9074,25100.0,0.0,-0.6055000907701028,-0.8465930915089358,-0.8480024325961762,1.0
1352,VILASSAR DE DALT,-1.1246914832320802,-0.44390088625859375,-0.4639471263809524,9074,23700.0,0.0,-1.0137872466040845,-1.0757791859483994,-1.048401774487003,2.0
1353,VILASSAR DE DALT,-0.9451119388153929,-0.44390088625859375,-0.4770802846510204,9074,24500.0,0.35,-0.93196338449821,-0.9151751731306699,-1.0655486694180807,2.0
1354,VILASSAR DE DALT,-0.6491173578303466,-0.8865976245404101,-0.6656224993037002,9074,24300.0,0.0,-0.7401382391468544,-0.762806278615327,-0.9098128502655172,2.0
1355,VILASSAR DE DALT,-0.5837132985125231,-1.1364709005591205,-0.7476513729459654,9074,23400.0,0.0,-0.6374899556996675,-0.662904428993746,-0.7985208919176819,2.0
1356,VILASSAR DE DALT,-0.6491173578303466,-0.8634177447575512,-0.9206682277619633,9074,25800.0,0.0,-0.5542175583079076,-0.6171613672813249,-0.7397816896100952,2.0
1357,VILASSAR DE DALT,-0.8024556369566394,-0.6826612158725347,-0.9206682277619633,9074,21200.0,1.6,-0.5493712388113485,-0.6134904981496806,-0.7038263214383083,3.0
1358,VILASSAR DE DALT,-0.6843458516016417,-0.6826612158725347,-0.8079129767628332,9074,30570.0,6.45,-0.5474236507853896,-0.6001461710595399,-0.6904663179526036,3.0
1359,VILASSAR DE DALT,-1.1246914832320802,-0.7980044161422615,-0.7771676585144904,9074,26700.0,0.0,-0.5249621664513108,-0.5825043402705032,-0.6713755211533985,3.0
1360,VILASSAR DE DALT,-0.9451119388153929,-0.8191604243021717,-0.7872747974966284,9074,24300.0,0.0,-0.5145792797310432,-0.5649745360706465,-0.6519808066699017,3.0
1361,VILASSAR DE DALT,-1.0000130346192142,-0.9608936571321028,-0.9206682277619633,9074,24800.0,0.0,-0.4926952793758227,-0.5508983425126532,-0.6704653082275632,4.0
1362,VILASSAR DE DALT,-1.7307267247052625,-1.1364709005591205,-1.011035263102709,9074,23700.0,0.0,-0.48826254352449106,-0.598613690110308,-0.7322743351216675,4.0
1363,VILASSAR DE DALT,-2.472901476116817,-1.0732391241961874,-1.0679379151198152,9074,25470.0,0.1,-0.5859848591340353,-0.7277117442196783,-0.8970019045369524,4.0
1364,VILASSAR DE DALT,-1.3659382322627673,-1.4116620307788634,-1.3286856214852436,9074,23600.0,0.0,-0.7331861821139238,-1.0150318575074977,-0.966456476273264,4.0
1365,VILASSAR DE DALT,-1.1964001703590856,-1.9261359829877804,-1.7184558705310782,9074,23000.0,0.0,-1.2704417878405865,-0.9263699764167893,-0.6232572118914737,5.0
1366,VILASSAR DE DALT,-0.5240863432358359,-1.6929221312860567,-2.037868523417574,9074,25000.0,0.0,-0.63075410954591,-0.30288961598294256,-0.24375461259387718,5.0
1367,VILASSAR DE DALT,0.5035582822623647,-1.568163247166415,-1.824664908269023,9074,25500.0,0.0,-0.04307712440580769,0.07915730878556289,0.05240408572016507,5.0
1368,VILASSAR DE DALT,0.33218296798116653,-0.8634177447575512,-1.2317937182963272,9074,26000.0,0.0,0.2181507765283113,0.26100684313493194,0.2537079595494877,5.0
1369,VILASSAR DE DALT,0.26826411133362765,0.1633443175716568,-0.281691830319394,9074,25100.0,0.0,0.3270097195793405,0.34761399238770496,0.33807888349803933,6.0
1370,VILASSAR DE DALT,-0.04005595820478767,0.41869889962311035,0.03920847035435724,9074,23700.0,0.0,0.38741036099093135,0.3490987764792492,0.338998944345663,6.0
1371,VILASSAR DE DALT,-0.3716610419317609,0.29160426185304655,0.22426978937387715,9074,22600.0,0.0,0.32999297002021094,0.2645561789561624,0.28037021797157863,6.0
