Week,Mun,Ncasos,Year,Ncasos_lead,Ncasos_lag,Ncasos_lagroll_15,Ncasos_lagroll_30,EDAR,nHab,N1,N2,IP4,E,caudal,lluvia,Fecha,sars2,sars,n1_fill,f_num,n1_loess,n1_loess_15,n1_loess_30,sars_loess,sars_loess_15,sars_loess_30,sars2_loess,sars2_loess_15,sars2_loess_30,Month
2021 18,SANTA COLOMA DE GRAMENET,143,2021,82,127,144.5,152.5,BESÒS,119289,85761,126728,NA,NA,319221,0,2021-05-03,126728,126728,85761,18750,78221.00137935531,65487.401715332104,66226.69786948082,117502.1057600758,99754.81825142291,97558.41461569228,106643.53533281789,94784.75238095288,89360.72133249314,05
2021 19,SANTA COLOMA DE GRAMENET,82,2021,73,143,135,144.5,BESÒS,119289,25728,22044,NA,NA,317663,0,2021-05-10,22044,25728,25728,18757,52753.80205130891,42177.20242037065,44660.22342190741,82007.53074277,62662.039501006366,63312.0615796154,82925.96942908787,64296.087516822474,61074.64087537983,05
2021 20,SANTA COLOMA DE GRAMENET,73,2021,58,82,112.5,128.5,BESÒS,119289,14084,5281,NA,NA,329976,0,2021-05-17,5281,14084,14084,18764,31600.602789432407,23833.045128482718,36565.31938956694,43316.548259242714,26869.30490780791,44619.75868499965,45666.20560455709,27364.529369806794,36314.80026767205,05
2021 21,SANTA COLOMA DE GRAMENET,58,2021,50,73,77.5,106.25,BESÒS,119289,40014,40363,NA,NA,272484,0,2021-05-24,40363,40363,40014,18771,16065.487467533025,30953.43635876322,52649.23771351127,10422.061556373097,26577.47786899296,53396.88573662036,9062.853135056506,8333.513018521622,23730.24921456348,05
2021 23,SANTA COLOMA DE GRAMENET,48,2021,56,50,54,65.75,BESÒS,119289,50185,22712,NA,NA,329845,0,2021-06-07,22712,50185,50185,18785,45841.385249993415,81465.43029853982,114027.87536151125,42732.89418161281,79924.46656543283,111847.30298361299,7604.172901986753,20095.96905932016,35307.39411006876,06
2021 24,SANTA COLOMA DE GRAMENET,56,2021,103,48,49,57.25,BESÒS,119289,23194,375,NA,NA,311284,0,2021-06-14,375,23194,23194,18792,117089.47534708623,197102.31436425928,215203.2408477546,117116.03894925283,197117.12809823302,214429.97650833818,32587.765216653585,62281.2752016159,69921.78703906956,06
2021 25,SANTA COLOMA DE GRAMENET,103,2021,356,56,52,53,BESÒS,119289,34151,1672,NA,NA,310934,0,2021-06-21,1672,34151,34151,18799,277115.1533814323,348941.0513969694,329873.5185356593,277118.21724721324,348935.4864512435,329654.57674947346,91974.78518657823,119747.60501881895,112964.25808033833,06
2021 26,SANTA COLOMA DE GRAMENET,356,2021,672,103,79.5,64.25,BESÒS,119289,395493,119364,NA,NA,298655,0,2021-06-28,119364,395493,395493,18806,420766.94941250654,462644.72270705935,439204.91972775076,420752.7556552738,462192.02540071384,438655.27600122645,147520.42485105968,163647.24095906076,155429.9088750813,06
2021 27,SANTA COLOMA DE GRAMENET,672,2021,795,356,229.5,140.75,BESÒS,119289,1296580,443869,NA,NA,312917,0,2021-07-05,443869,1296580,1296580,18813,504522.49600161216,529468.788058532,493982.3941101415,503631.2951461539,528375.0655512094,493528.30857741425,179774.05706706183,191112.2127313437,180860.60092467198,07
2021 28,SANTA COLOMA DE GRAMENET,795,2021,751,672,514,296.75,BESÒS,119289,167618,133181,NA,NA,316339,0,2021-07-12,133181,167618,167618,18820,554415.080115452,525320.0655132236,490469.79265647475,553118.8359562649,524864.5917541147,490652.34532774263,202450.36839562556,198073.9608902832,187675.11077696434,07
2021 29,SANTA COLOMA DE GRAMENET,751,2021,547,795,733.5,481.5,BESÒS,119289,429623,141637,NA,NA,311195,0,2021-07-19,141637,429623,429623,18827,496225.0509109953,451470.7972544175,444790.2425434901,496610.3475519646,452929.6251042758,446437.4389006503,193697.55338494087,184238.00882258502,181322.75592896758,07
2021 30,SANTA COLOMA DE GRAMENET,547,2021,401,751,773,643.5,BESÒS,119289,437054,195191,NA,NA,296860,0,2021-07-26,195191,437054,437054,18834,406716.54359783966,364260.4195737566,342259.75156437035,409248.9026565871,368010.28604718595,346663.54647745483,174778.46426022917,164571.55096765197,156551.66530008052,07
2021 31,SANTA COLOMA DE GRAMENET,401,2021,267,547,649,691.25,BESÒS,119289,206714,58820,NA,NA,310824,0,2021-08-02,58820,206714,206714,18841,321804.29554967344,233048.7058743232,233722.41727983966,326771.66943778476,240397.46785063384,240505.14483410766,154364.6376750748,128865.32177757604,123338.65181006482,08
2021 33,SANTA COLOMA DE GRAMENET,218,2021,108,267,334,491.5,BESÒS,119289,166904,191067,NA,NA,278885,0,2021-08-16,191067,191067,166904,18855,144293.11619897292,103184.41498592278,135406.014416732,154023.2662634829,113000.00362102946,143407.46162253775,103366.00588007728,82105.75265247768,84738.060721145,08
2021 35,SANTA COLOMA DE GRAMENET,77,2021,59,108,163,248.5,BESÒS,119289,30181,15727,NA,NA,326280,2.3,2021-08-30,15727,30181,30181,18869,62075.7137728726,37763.32295914086,55211.359781426356,71976.74097857601,46417.45539444173,63443.939221397595,60845.49942487807,40610.799664713944,48564.42895041127,08
2021 37,SANTA COLOMA DE GRAMENET,33,2021,29,59,68,115.5,BESÒS,119289,15673,27642,NA,NA,337569,0,2021-09-13,27642,27642,15673,18883,13450.932145409079,7238.304576929986,19138.080731683127,20858.1698103074,13887.874821765778,25509.230796460433,20376.09990454984,15023.105248344871,24219.822064939442,09
2021 38,SANTA COLOMA DE GRAMENET,29,2021,22,33,46,69.25,BESÒS,119289,3861,15171,NA,NA,NA,NA,2021-09-21,15171,15171,3861,18891,1025.6770084508448,512.8385042254467,3619.1522884649776,6917.579833224111,4601.006198479201,7515.045551816431,9670.110592139921,7828.844465164937,9853.083503127702,09
2021 39,SANTA COLOMA DE GRAMENET,22,2021,16,29,31,49.5,BESÒS,119289,375,1304,NA,NA,338204,NA,2021-09-27,1304,1304,375,18897,0,2.432898327242583e-11,792.9857584904175,2284.432563734248,1142.2162818671454,3111.1327936384732,5987.578338189971,4683.061757910536,5421.911665371891,09
2021 40,SANTA COLOMA DE GRAMENET,16,2021,24,22,25.5,35.75,BESÒS,119289,917,1477,NA,NA,591982,19,2021-10-04,1477,1477,917,18904,0,1073.1330127554436,3409.6856795534436,0,1621.2593887978078,4471.543231601107,3378.5451776311183,3014.978865578845,3966.5975870807997,10
2021 41,SANTA COLOMA DE GRAMENET,24,2021,17,16,19,25,BESÒS,119289,2975,5619,NA,NA,338781,0,2021-10-13,5619,5619,2975,18913,2146.2660255108385,6819.371359106918,10845.207376101696,3242.518777595573,7800.870181335131,11389.13895653012,2651.4125535265907,3250.133416251064,3806.1211856370337,10
2021 42,SANTA COLOMA DE GRAMENET,17,2021,27,24,20,22.75,BESÒS,119289,1356,1494,NA,NA,346335,0,2021-10-18,1494,1494,1356,18918,11492.476692702949,20617.281739448004,23233.559693858413,12359.221585074647,21157.018524262494,23742.5263607156,3848.854278975555,4597.263505695222,4881.38865118388,10
2021 43,SANTA COLOMA DE GRAMENET,27,2021,21,17,20.5,19.75,BESÒS,119289,6074,8944,NA,NA,343840,0,2021-10-25,8944,8944,6074,18925,29742.086786193013,39647.74802860997,35320.836031905725,29954.815463450297,39684.18254009613,35497.34705629797,5345.672732414908,6512.643886116697,6160.208951851658,10
2021 44,SANTA COLOMA DE GRAMENET,21,2021,50,27,22,21,BESÒS,119289,71185,7487,NA,NA,333800,0,2021-11-02,7487,71185,71185,18933,49553.40927102687,50024.3903243635,44723.43436020452,49413.549616741926,49837.67558833351,44948.41966783211,7679.615039818504,7723.154398008093,7737.568412662163,11
2021 45,SANTA COLOMA DE GRAMENET,50,2021,70,21,24,22.25,BESÒS,119289,73065,11616,NA,NA,323014,0,2021-11-08,11616,73065,73065,18939,50495.37137770009,49799.12069179914,47615.211223030565,50261.80155992506,50212.656795568146,49704.52770775149,7766.693756197702,8962.492939207628,12214.735074116457,11
2021 46,SANTA COLOMA DE GRAMENET,70,2021,115,50,35.5,28.75,BESÒS,119289,66335,9455,NA,NA,NA,NA,2021-11-15,9455,66335,66335,18946,49102.870005898134,45206.03212169769,44225.33479460575,50163.5120312112,49571.37982716953,49794.85477521732,10158.292122217574,16706.31575022482,19218.511325165444,11
2021 47,SANTA COLOMA DE GRAMENET,115,2021,183,70,60,42,BESÒS,119289,19514,12636,NA,NA,314631,0,2021-11-22,12636,19514,19514,18953,41309.19423749719,38651.54889741242,45276.37247500255,48979.24762312782,49377.05275486655,54843.021367128786,23254.33937823209,29474.52971112326,27764.3651070444,11
2021 48,SANTA COLOMA DE GRAMENET,183,2021,225,115,92.5,64,BESÒS,119289,13248,3506,NA,NA,327645,0,2021-11-29,3506,13248,13248,18960,35993.90355732759,45346.71282830747,50485.15574159283,49774.85788660524,60114.6629070881,63646.186055748054,35694.72004401445,38822.41446386398,35824.27336792256,11
2021 49,SANTA COLOMA DE GRAMENET,225,2021,626,183,149,104.5,BESÒS,119289,43267,104440,NA,NA,292834,0,2021-12-08,104440,104440,43267,18969,54699.52209928731,62318.7625857733,54684.06862051503,70454.46792757092,77915.31935662961,68134.32590137105,41950.108883713525,42174.017024721856,35658.69018982528,12
2021 50,SANTA COLOMA DE GRAMENET,626,2021,1328,225,204,148.25,BESÒS,119289,98574,40576,NA,NA,305722,0,2021-12-13,40576,98574,98574,18974,69938.00307225925,64021.424412722634,70027.41913350424,85376.17078568826,76153.98889565404,80458.05009949792,42397.92516573021,32494.965915786586,30045.53056604323,12
2021 51,SANTA COLOMA DE GRAMENET,1328,2021,1895,626,425.5,287.25,BESÒS,119289,92664,26099,NA,NA,302267,0,2021-12-20,26099,92664,92664,18981,58104.845753185975,77736.07568123523,205827.52622582865,66931.80700561979,83000.78084236631,214770.6854362367,22592.006665842982,17917.044107364603,51223.72992801258,12
2021 52,SANTA COLOMA DE GRAMENET,1895,2021,87,1328,977,590.5,BESÒS,119289,143436,NA,NA,NA,299647,0,2021-12-27,0,143436,143436,18988,97367.30560928443,347633.6280389347,397950.9516857837,99069.75467911278,353387.3819768194,407798.98250060854,13242.081548886243,69952.49394023858,90255.4449143052,12
2022 02,SANTA COLOMA DE GRAMENET,3397,2022,3201,2608,1347.5,1479.5,BESÒS,117981,166333,NA,NA,NA,323372,0,2022-01-10,0,166333,166333,19002,597899.950468585,718165.8276903322,588702.0490792153,607705.009274526,732597.1841588508,601694.4772197183,126662.90633159093,162593.8457212458,136502.8881697601,01
2022 03,SANTA COLOMA DE GRAMENET,3201,2022,1785,3397,3002.5,1996.75,BESÒS,117981,494645,185775,NA,NA,NA,NA,2022-01-20,185775,494645,494645,19012,838431.7049120795,829770.4701194958,750840.2503120753,857489.3590431755,850001.5724626172,769510.998229817,198524.78511090067,203053.2823992816,186773.68440185033,01
2022 04,SANTA COLOMA DE GRAMENET,1785,2022,785,3201,3299,2323.25,BESÒS,117981,2546958,415908,NA,NA,306594,0,2022-01-24,415908,2546958,2546958,19016,821109.235326912,783514.6729338182,740444.5531566038,842513.7858820588,806424.8123007832,762174.7784791196,207581.77968766252,210953.5230824549,201027.8113284816,01
2022 05,SANTA COLOMA DE GRAMENET,785,2022,391,1785,2493,2747.75,BESÒS,117981,144928,244005,NA,NA,NA,0,2022-01-31,244005,244005,144928,19023,745920.1105407244,651118.6361937119,538521.6944518016,770335.8387195076,674347.9844956222,557836.2221970388,214325.2664772473,199002.34025768162,169408.99977865256,01
2022 06,SANTA COLOMA DE GRAMENET,391,2022,299,785,1285,2292,BESÒS,117981,94128,59011,NA,NA,322822,0,2022-02-07,59011,94128,94128,19030,556317.1618466994,293528.715969785,337464.67990238953,578360.1302717369,309247.6320932945,352470.67406014627,183679.41403811597,127864.47647485025,129207.86735323598,02
2022 08,SANTA COLOMA DE GRAMENET,232,2022,170,299,345,815,BESÒS,117981,144191,103233,NA,NA,324401,0,2022-02-21,103233,144191,144191,19044,30740.270092870604,23810.72361106722,164613.34627723956,40135.13391485212,30593.363624670277,173631.40488209602,72049.53891158455,59413.394448790365,83874.7097649659,02
2022 09,SANTA COLOMA DE GRAMENET,170,2022,167,232,265.5,426.75,BESÒS,117981,117544,58726,NA,NA,332365,0,2022-02-28,58726,117544,117544,19051,16881.17712926386,35697.97658469407,40376.10268043372,21051.593334488287,38015.17767089759,43949.6941116203,46777.24998599619,39884.94305508155,43805.44873805202,02
2022 10,SANTA COLOMA DE GRAMENET,167,2022,143,170,201,273,BESÒS,117981,37297,47747,NA,NA,435887,0,2022-03-07,47747,47747,37297,19058,54514.776040124314,56941.4817498002,52917.35201153776,54978.76200730674,57306.02459857044,54379.89184989661,32992.63612416692,28197.50302731369,32611.768211450006,03
2022 11,SANTA COLOMA DE GRAMENET,143,2022,125,167,168.5,217,BESÒS,117981,53865,5623,NA,NA,389239,0.2,2022-03-14,5623,53865,53865,19065,59368.18745947611,70136.72743838142,91627.67244610793,59633.287189833994,70744.60602889575,91125.11433684143,23402.36993046047,25338.593367818467,41944.76993366625,03
2022 12,SANTA COLOMA DE GRAMENET,125,2022,67,143,155,178,BESÒS,117981,14046,11310,NA,NA,294784,0,2022-03-21,11310,14046,14046,19072,80905.26741728676,126313.86314241563,135472.22726580134,81855.92486795736,124944.20407511253,133544.09670370247,27274.816805176477,55692.03684001881,65043.596142437316,03
2022 13,SANTA COLOMA DE GRAMENET,67,2022,85,125,134,151.25,BESÒS,117981,92977,72598,NA,NA,NA,NA,2022-03-29,72598,92977,92977,19080,171722.45886754454,200807.72709322118,180137.38704786595,168032.48328226755,196343.5873785093,178415.28058072005,84109.25687486115,104748.59891705617,96353.54949985434,03
2022 14,SANTA COLOMA DE GRAMENET,85,2022,85,67,96,125.5,BESÒS,117981,206033,375,NA,NA,322941,0,2022-04-04,375,206033,206033,19086,229892.99531889788,233960.91095331623,215960.9662645698,224654.69147475093,231886.3570863277,217977.6990722066,125387.9409592512,137015.06215968987,132092.0649705137,04
2022 15,SANTA COLOMA DE GRAMENET,85,2022,118,85,76,105,BESÒS,117981,527418,368276,NA,NA,305414,0,2022-04-11,368276,527418,527418,19093,238028.8265877346,231114.20543591838,216069.13304465645,239118.02269790432,239611.810765904,227942.41335509808,148642.18336012858,159435.53102397118,152126.89469896493,04
2022 16,SANTA COLOMA DE GRAMENET,118,2022,166,85,85,90.5,BESÒS,117981,186074,198802,NA,NA,310853,0,2022-04-19,198802,198802,186074,19101,224199.5842841022,198177.35513599662,185919.4266392509,240105.5988339035,223998.4696238686,213644.6724306707,170228.87868781382,167238.72723823998,159146.84145416346,04
2022 17,SANTA COLOMA DE GRAMENET,166,2022,179,118,101.5,88.75,BESÒS,117981,98159,69338,NA,NA,322238,0,2022-04-25,69338,98159,98159,19107,172155.1259878911,140724.64784258336,153249.65590443183,207891.34041383353,187677.53409543756,199427.06256325005,164248.57578866617,158858.15188435573,164388.35091753784,04
2022 18,SANTA COLOMA DE GRAMENET,179,2022,193,166,142,113.5,BESÒS,117981,63797,51003,NA,NA,297269,0,2022-05-02,51003,63797,63797,19114,109294.16969727565,108321.956672867,130969.2550040881,167463.72777704144,174855.65550263162,195827.28751176322,153467.7279800453,161537.9745968357,173116.1900527973,05
2022 19,SANTA COLOMA DE GRAMENET,193,2022,222,179,172.5,137,BESÒS,117981,38887,317639,NA,NA,298204,0,2022-05-09,317639,317639,38887,19121,107349.7436484584,121213.8621655928,143981.05517449477,182247.58322822166,203977.04092808897,221045.63320616836,169608.2212136261,187374.22822123882,198819.77769547075,05
2022 20,SANTA COLOMA DE GRAMENET,222,2022,202,193,186,164,BESÒS,117981,191106,180376,NA,NA,301276,0,2022-05-16,180376,191106,191106,19128,135077.98068272724,179640.15367612249,196570.19566100964,225706.49862795614,267235.6109097052,278780.91815826937,205140.23522885155,236101.5807941058,244419.5586739479,05
2022 21,SANTA COLOMA DE GRAMENET,202,2022,198,222,207.5,190,BESÒS,117981,235306,125023,NA,NA,308532,0,2022-05-23,125023,235306,235306,19135,224202.3266695178,271926.52915642643,269303.58237830026,308764.72319145413,353584.7953884499,363755.8336181497,267062.92635936005,301464.889126657,318255.74627192615,05
2022 22,SANTA COLOMA DE GRAMENET,198,2022,213,202,212,199,BESÒS,117981,156123,279645,NA,NA,351181,0,2022-05-30,279645,279645,156123,19142,319650.7316433351,358967.01108047797,345058.6683092873,398404.8675854455,460276.0563265943,455412.52286744764,335866.8518939539,400409.91174974653,401851.1364889485,05
2022 23,SANTA COLOMA DE GRAMENET,213,2022,264,198,200,203.75,BESÒS,117981,684654,920840,NA,NA,312915,0,2022-06-07,920840,920840,684654,19150,398283.2905176209,418190.8074621481,398729.6367796748,522147.24506774294,557240.2503464455,528493.7229710137,464952.97160553915,502237.38385124,470687.27817819815,06
2022 24,SANTA COLOMA DE GRAMENET,264,2022,358,213,205.5,208.75,BESÒS,117981,395626,166726,NA,NA,326206,0,2022-06-13,166726,395626,395626,19156,438098.3244066753,438492.2624788715,421514.23594423634,592333.2556251478,596711.3896154333,570182.7880812138,539521.7960969409,540964.6446066498,511346.82779750554,06
2022 25,SANTA COLOMA DE GRAMENET,358,2022,383,264,238.5,219.25,BESÒS,117981,190202,239864,NA,NA,327239,0,2022-06-20,239864,239864,190202,19163,438886.20055106777,424837.66442632454,407137.0267385929,601089.5236057186,583125.3258159823,554084.1307734573,542407.4931163586,520456.2717437711,490758.9491553793,06
2022 26,SANTA COLOMA DE GRAMENET,383,2022,315,358,311,258.25,BESÒS,117981,671276,1145936,NA,NA,308214,0,2022-06-27,1145936,1145936,671276,19170,410789.1283015813,375781.7909983143,364275.0258943431,565161.1280262459,511456.8719314815,491715.21714212815,498505.0503711836,440553.2537041088,421005.96402955183,06
2022 27,SANTA COLOMA DE GRAMENET,315,2022,141,383,370.5,304.5,BESÒS,117981,279484,309948,NA,NA,304591,0,2022-07-04,309948,309948,279484,19177,340774.45369504724,303712.38736236165,307575.54286723747,457752.615836717,400305.1084682741,402483.0547243717,382601.4570370341,321555.6563153325,322534.5211953659,07
2022 28,SANTA COLOMA DE GRAMENET,141,2022,70,315,349,330,BESÒS,117981,252100,10260,NA,NA,304472,1,2022-07-11,10260,252100,252100,19184,266650.3210296761,239369.29473616058,245139.86608528474,342857.60109983105,293509.23751726205,299218.6243430477,260509.85559363096,204515.78868662287,209381.14387859037,07
2022 29,SANTA COLOMA DE GRAMENET,70,2022,4,141,228,299.25,BESÒS,117981,161830,76681,NA,NA,300085,0,2022-07-18,76681,161830,161830,19191,212088.2684426451,186567.34480820777,185894.10874765817,244160.87393469285,198132.14021782135,207039.60912606344,148521.72177961477,97206.6314418482,115836.15890746568,07
2022 30,SANTA COLOMA DE GRAMENET,4,2022,NA,70,105.5,227.25,BESÒS,117981,121324,70000,NA,NA,319701,0,2022-07-25,70000,121324,121324,19198,161046.42117377048,132418.92275915574,137502.4003904487,152103.4065009497,120569.98073486502,139596.08075131522,45891.541104081654,27156.52912830846,56674.75241314097,07
2020 29,VILASSAR DE DALT,6,2020,6,NA,NA,NA,MATARÓ,9072,22319,NA,NA,714,28091,2,2020-07-13,714,22319,22319,18456,12469.358416267245,20379.76463404749,20609.302419034993,37332.71920135573,67302.6923168779,68173.32809324695,31889.33054648523,60913.3699108526,62385.49366259629,07
2020 30,VILASSAR DE DALT,6,2020,2,6,NA,NA,MATARÓ,9072,1912,6148,NA,NA,26500,0,2020-07-20,6148,6148,1912,18463,28290.17085182773,34983.92562993636,34143.62901765578,97272.66543240008,117680.29658581603,109068.23784905515,89937.40927521996,108826.32205194996,99574.33484986193,07
2020 31,VILASSAR DE DALT,2,2020,9,6,6,NA,MATARÓ,9072,5042,10366,NA,NA,25724,0,2020-07-27,10366,10366,5042,18470,41677.680408044995,47907.49340126407,47009.11684050129,138087.927739232,150833.78338123238,142576.00192653318,127715.23482867995,138235.29978887126,129426.0741996722,07
2020 32,VILASSAR DE DALT,9,2020,6,2,4,NA,MATARÓ,9072,118948,538048,NA,NA,28860,14,2020-08-03,538048,538048,118948,18477,54137.306394483145,59034.308051066204,57040.74592507268,163579.63902323277,167471.70726725028,152987.54854377106,148755.36474906257,150025.82634739447,134606.8388745448,08
2020 33,VILASSAR DE DALT,6,2020,8,9,5.5,5.75,MATARÓ,9072,22858,5890,NA,NA,21018,0,2020-08-10,5890,22858,22858,18484,63931.30970764926,66173.99844888129,63492.35574490428,171363.77551126783,155141.31370630977,142022.03740216032,151296.28794572636,130978.37796021835,117583.20307317562,08
2020 34,VILASSAR DE DALT,8,2020,22,6,7.5,5.75,MATARÓ,9072,105716,35856,NA,NA,21700,0,2020-08-17,35856,105716,105716,18491,68416.68719011333,67950.40343874235,63881.72346117403,138918.8519013517,116572.36753707036,116951.95615306884,110660.46797471032,85140.57979895678,88434.16483925698,08
2020 35,VILASSAR DE DALT,22,2020,14,8,7,6.25,MATARÓ,9072,17571,61309,NA,NA,22524,0,2020-08-24,61309,61309,17571,18498,67484.11968737136,61589.44847346675,58405.328795365815,94225.883172789,78762.59859982792,83907.84188933115,59620.69162320325,45889.9517182956,54212.885934156366,08
2020 36,VILASSAR DE DALT,14,2020,7,22,15,11.25,MATARÓ,9072,100739,60510,NA,NA,23000,0,2020-08-31,60510,100739,100739,18505,55694.77725956214,48860.254151989284,47865.278512732315,63299.314026866836,51243.31624159195,54965.60236849995,32159.21181338795,23285.192069355948,28095.02896263052,08
2020 37,VILASSAR DE DALT,7,2020,18,14,18,12.5,MATARÓ,9072,36892,2733,NA,NA,25000,0,2020-09-07,2733,36892,36892,18512,42025.731044416425,34141.10855199788,35126.132015299234,39187.31845631708,31168.606137172002,35348.7980562607,14411.172325323952,10300.10620696544,14602.734457989121,09
2020 38,VILASSAR DE DALT,18,2020,16,7,10.5,12.75,MATARÓ,9072,26184,7704,NA,NA,25276,0,2020-09-14,7704,26184,26184,18519,26256.486059579333,21392.009878609177,28173.766290527215,23149.89381802693,19454.279870929437,26654.87260033855,6189.040088606931,5920.276846622291,13163.654867268886,09
2020 39,VILASSAR DE DALT,16,2020,15,18,12.5,15.25,MATARÓ,9072,12767,16665,NA,NA,25000,9.8,2020-09-21,16665,16665,12767,18526,16527.533697639024,22206.424029056554,29632.904408300717,15758.665923831948,22141.139063505103,29781.32205644084,5651.513604637654,16027.203527572328,22515.716171171982,09
2020 40,VILASSAR DE DALT,15,2020,42,16,17,13.75,MATARÓ,9072,6915,1623,NA,NA,23341,0,2020-09-28,1623,6915,6915,18533,27885.314360474084,37873.79893799226,45744.02748830372,28523.61220317826,40108.36424195225,48714.7351875935,26402.893450507006,39111.15549572167,39549.92953032595,09
2020 41,VILASSAR DE DALT,42,2020,40,15,15.5,14,MATARÓ,9072,22662,29183,NA,NA,25400,0,2020-10-05,29183,29183,22662,18540,47862.28351551043,69281.63094755088,73972.64761175012,51693.11628072625,75288.3313116819,80194.51947026544,51819.417540936345,63072.65553307956,60937.340989998964,10
2020 42,VILASSAR DE DALT,40,2020,51,42,28.5,22.75,MATARÓ,9072,96808,79762,NA,NA,23169,0,2020-10-12,79762,96808,96808,18547,90700.97837959132,110071.49628550796,100239.27888915199,98883.54634263755,120280.67469857864,109916.03991172521,74325.89352522278,82763.52648427624,75659.0212220144,10
2020 43,VILASSAR DE DALT,51,2020,64,40,41,28.25,MATARÓ,9072,167997,133857,NA,NA,26146,0,2020-10-19,133857,167997,167997,18554,129442.0141914246,131196.9268307531,119322.54613035993,141677.80305451973,144543.74851176856,132104.1525702256,91201.15944332971,88245.38691094924,80952.69432606203,10
2020 44,VILASSAR DE DALT,64,2020,36,51,45.5,37,MATARÓ,9072,76556,126110,NA,NA,25200,0,2020-10-26,126110,126110,76556,18561,132951.83947008158,128573.59597521191,119694.81896512203,147409.69396901736,143927.63044187255,134576.5342091556,85289.61437856876,79141.86216784782,75927.56889391481,10
2020 45,VILASSAR DE DALT,36,2020,21,64,57.5,49.25,MATARÓ,9072,276299,30888,NA,NA,24800,0,2020-11-02,30888,276299,276299,18568,124195.35248034223,108192.71109949097,102561.85648151216,140445.56691472774,124609.31990654267,118270.28055755692,72994.10995712689,63609.75087688039,62027.53045517392,11
2020 46,VILASSAR DE DALT,21,2020,15,36,50,47.75,MATARÓ,9072,13365,27684,NA,NA,26500,0,2020-11-09,27684,27684,13365,18575,92190.06971863972,76550.11698781243,83906.59373106038,108773.0728983576,92612.93067324131,99351.27183685175,54225.39179663389,44913.19874250001,49286.372561411685,11
2020 47,VILASSAR DE DALT,15,2020,16,21,28.5,43,MATARÓ,9072,32648,33763,NA,NA,24800,0,2020-11-16,33763,33763,32648,18582,60910.16425698514,59620.47636262979,67881.06068901523,76452.78844812502,74093.22376716086,82029.50086691287,35601.00568836613,34962.99424594298,40206.05272936646,11
2020 48,VILASSAR DE DALT,16,2020,8,15,18,34,MATARÓ,9072,23289,61619,NA,NA,25900,0,2020-11-23,61619,61619,23289,18589,58330.78846827445,59212.00439021804,63126.310600102246,71733.65908619668,71446.07106058444,72387.27767909005,34324.98280351983,35498.90671623291,32585.919521734144,11
2020 49,VILASSAR DE DALT,8,2020,21,16,15.5,22,MATARÓ,9072,10867,17337,NA,NA,28900,0,2020-11-30,17337,17337,10867,18596,60093.220312161626,66632.14483757471,68464.45575204688,71158.48303497219,70681.33159101926,72172.48057478295,36672.83062894599,30208.844797525308,29188.66829929449,11
2020 50,VILASSAR DE DALT,21,2020,21,8,12,15,MATARÓ,9072,249706,55749,NA,NA,25750,0,2020-12-08,55749,249706,249706,18604,73171.06936298778,77716.90711387573,71976.8622459733,70204.18014706632,72898.8900889815,75846.24347630833,23744.858966104628,22878.429882356075,32427.365211708093,12
2020 51,VILASSAR DE DALT,21,2020,21,21,14.5,15,MATARÓ,9072,20915,27691,NA,NA,26300,0,2020-12-14,27691,27691,20915,18610,82262.74486476368,77321.5796543719,71592.46617741573,75593.60003089666,81011.15536159743,83013.35484791674,22012.00079860752,34645.88562589088,43128.7378733154,12
2020 52,VILASSAR DE DALT,21,2020,23,21,21,16.5,MATARÓ,9072,26938,22062,NA,NA,25300,0,2020-12-21,22062,26938,26938,18617,72380.41444398012,65468.02524095573,66444.97880062935,86428.71069229818,93127.81960685199,97696.79763675884,47279.77045317424,63379.04586427471,67374.83938353197,12
2020 53,VILASSAR DE DALT,23,2020,48,21,21,17.75,MATARÓ,9072,68087,33011,NA,NA,22600,0,2020-12-28,33011,68087,68087,18624,58555.63603793133,55568.37794688681,58154.10988611002,99826.92852140579,114382.43991192029,117942.58263093862,79478.32127537519,100103.79314117307,101138.98036657763,12
2021 01,VILASSAR DE DALT,48,2021,47,23,22,21.5,MATARÓ,9074,47602,68796,NA,NA,24300,0,2021-01-04,68796,68796,47602,18631,52581.119855842284,50840.194531264315,51718.05363650267,128937.95130243477,142757.34565502524,136530.21008999707,120729.26500697096,138898.91486888056,130199.40705555343,01
2021 02,VILASSAR DE DALT,47,2021,48,48,35.5,28.25,MATARÓ,9074,67177,368923,NA,NA,23700,0,2021-01-11,368923,368923,67177,18638,49099.26920668634,47867.72932611854,46609.662201950945,156576.74000761574,158677.98026807385,144196.1560443747,157068.56473079015,160295.0209699338,143264.52919930994,01
2021 03,VILASSAR DE DALT,48,2021,49,47,47.5,34.75,MATARÓ,9074,36125,42180,NA,NA,24700,0,2021-01-18,42180,42180,36125,18645,46636.18944555074,42379.12987263758,40818.03258043256,160779.22052853197,145634.96643372416,136241.00753354837,163521.47720907745,147630.1435297393,137539.88347669275,01
2021 05,VILASSAR DE DALT,25,2021,36,49,48.5,48,MATARÓ,9074,57380,212838,NA,NA,25800,0,2021-02-01,212838,212838,57380,18659,38122.07029972442,33768.33583474659,33834.782665660874,130490.71233891632,113804.03479902288,113181.24900625498,131738.80985040116,114784.74598345172,114289.03691049777,02
