Municipios;Periodo;Total
25212 Sunyer;2021;334
25212 Sunyer;2020;343
25215 Talarn;2022;562
25215 Talarn;2021;489
25215 Talarn;2020;595
25216 Talavera;2022;291
25216 Talavera;2021;287
25216 Talavera;2020;279
25217 Tàrrega;2022;17810
25217 Tàrrega;2021;17649
25217 Tàrrega;2020;17445
25218 Tarrés;2022;105
25218 Tarrés;2021;105
25218 Tarrés;2020;102
25219 Tarroja de Segarra;2022;175
25219 Tarroja de Segarra;2021;187
25219 Tarroja de Segarra;2020;188
25220 Térmens;2022;1363
25220 Térmens;2021;1330
25220 Térmens;2020;1360
25221 Tírvia;2022;132
25221 Tírvia;2021;131
25221 Tírvia;2020;134
25222 Tiurana;2022;71
25222 Tiurana;2021;73
25222 Tiurana;2020;77
25223 Torà;2022;1224
25223 Torà;2021;1209
25223 Torà;2020;1237
25224 Torms, Els;2022;149
25224 Torms, Els;2021;145
25224 Torms, Els;2020;138
25225 Tornabous;2022;847
25225 Tornabous;2021;826
25225 Tornabous;2020;822
25227 Torre de Cabdella, La;2022;764
25227 Torre de Cabdella, La;2021;765
25227 Torre de Cabdella, La;2020;759
25226 Torrebesses;2022;300
25226 Torrebesses;2021;298
25226 Torrebesses;2020;267
25228 Torrefarrera;2022;4730
25228 Torrefarrera;2021;4702
25228 Torrefarrera;2020;4694
25907 Torrefeta i Florejacs;2022;621
25907 Torrefeta i Florejacs;2021;602
25907 Torrefeta i Florejacs;2020;607
25230 Torregrossa;2022;2155
25230 Torregrossa;2021;2157
25230 Torregrossa;2020;2179
25231 Torrelameu;2022;765
25231 Torrelameu;2021;759
25231 Torrelameu;2020;735
25232 Torres de Segre;2022;2248
25232 Torres de Segre;2021;2381
25232 Torres de Segre;2020;2366
25233 Torre-serona;2022;387
25233 Torre-serona;2021;383
25233 Torre-serona;2020;398
25234 Tremp;2022;5847
25234 Tremp;2021;5893
25234 Tremp;2020;5911
25043 Vall de Boí, La;2022;1090
25043 Vall de Boí, La;2021;1060
25043 Vall de Boí, La;2020;1019
25901 Vall de Cardós;2022;386
25901 Vall de Cardós;2021;382
25901 Vall de Cardós;2020;350
25238 Vallbona de les Monges;2022;227
25238 Vallbona de les Monges;2021;236
25238 Vallbona de les Monges;2020;243
25240 Vallfogona de Balaguer;2022;1935
25240 Vallfogona de Balaguer;2021;1912
25240 Vallfogona de Balaguer;2020;1906
25906 Valls d'Aguilar, Les;2022;274
25906 Valls d'Aguilar, Les;2021;264
25906 Valls d'Aguilar, Les;2020;245
25239 Valls de Valira, Les;2022;794
25239 Valls de Valira, Les;2021;800
25239 Valls de Valira, Les;2020;784
25909 Vansa i Fórnols, La;2022;166
25909 Vansa i Fórnols, La;2021;156
25909 Vansa i Fórnols, La;2020;149
25242 Verdú;2022;851
25242 Verdú;2021;880
25242 Verdú;2020;902
25243 Vielha e Mijaran;2022;5581
25243 Vielha e Mijaran;2021;5674
25243 Vielha e Mijaran;2020;5611
25244 Vilagrassa;2022;605
25244 Vilagrassa;2021;587
25244 Vilagrassa;2020;560
25245 Vilaller;2022;532
25245 Vilaller;2021;554
25245 Vilaller;2020;549
25247 Vilamòs;2022;172
25247 Vilamòs;2021;164
25247 Vilamòs;2020;178
25248 Vilanova de Bellpuig;2022;1179
25248 Vilanova de Bellpuig;2021;1178
25248 Vilanova de Bellpuig;2020;1183
25254 Vilanova de la Barca;2022;1110
25254 Vilanova de la Barca;2021;1127
25254 Vilanova de la Barca;2020;1088
25249 Vilanova de l'Aguda;2022;200
25249 Vilanova de l'Aguda;2021;194
25249 Vilanova de l'Aguda;2020;200
25250 Vilanova de Meià;2022;413
25250 Vilanova de Meià;2021;427
25250 Vilanova de Meià;2020;415
25251 Vilanova de Segrià;2022;1021
25251 Vilanova de Segrià;2021;1000
25251 Vilanova de Segrià;2020;985
25252 Vila-sana;2022;767
25252 Vila-sana;2021;761
25252 Vila-sana;2020;734
25253 Vilosell, El;2022;195
25253 Vilosell, El;2021;192
25253 Vilosell, El;2020;173
25255 Vinaixa;2022;465
25255 Vinaixa;2021;464
25255 Vinaixa;2020;450
