Municipios;Periodo;Total
17144 Regencós;2021;282
17144 Regencós;2020;276
17145 Ribes de Freser;2022;1810
17145 Ribes de Freser;2021;1787
17145 Ribes de Freser;2020;1760
17146 Riells i Viabrea;2022;4279
17146 Riells i Viabrea;2021;4268
17146 Riells i Viabrea;2020;4153
17147 Ripoll;2022;10641
17147 Ripoll;2021;10721
17147 Ripoll;2020;10803
17148 Riudarenes;2022;2337
17148 Riudarenes;2021;2283
17148 Riudarenes;2020;2204
17149 Riudaura;2022;511
17149 Riudaura;2021;511
17149 Riudaura;2020;481
17150 Riudellots de la Selva;2022;2072
17150 Riudellots de la Selva;2021;2076
17150 Riudellots de la Selva;2020;2071
17151 Riumors;2022;244
17151 Riumors;2021;244
17151 Riumors;2020;246
17152 Roses;2022;19907
17152 Roses;2021;19921
17152 Roses;2020;19807
17153 Rupià;2022;300
17153 Rupià;2021;296
17153 Rupià;2020;273
17154 Sales de Llierca;2022;169
17154 Sales de Llierca;2021;164
17154 Sales de Llierca;2020;159
17155 Salt;2022;32517
17155 Salt;2021;32230
17155 Salt;2020;32138
17157 Sant Andreu Salou;2022;162
17157 Sant Andreu Salou;2021;156
17157 Sant Andreu Salou;2020;160
17183 Sant Aniol de Finestres;2022;363
17183 Sant Aniol de Finestres;2021;353
17183 Sant Aniol de Finestres;2020;345
17158 Sant Climent Sescebes;2022;696
17158 Sant Climent Sescebes;2021;712
17158 Sant Climent Sescebes;2020;707
17159 Sant Feliu de Buixalleu;2022;839
17159 Sant Feliu de Buixalleu;2021;808
17159 Sant Feliu de Buixalleu;2020;797
17160 Sant Feliu de Guíxols;2022;22149
17160 Sant Feliu de Guíxols;2021;22210
17160 Sant Feliu de Guíxols;2020;22097
17161 Sant Feliu de Pallerols;2022;1495
17161 Sant Feliu de Pallerols;2021;1456
17161 Sant Feliu de Pallerols;2020;1437
17162 Sant Ferriol;2022;256
17162 Sant Ferriol;2021;247
17162 Sant Ferriol;2020;236
17163 Sant Gregori;2022;4085
17163 Sant Gregori;2021;4012
17163 Sant Gregori;2020;3928
17164 Sant Hilari Sacalm;2022;5836
17164 Sant Hilari Sacalm;2021;5758
17164 Sant Hilari Sacalm;2020;5703
17165 Sant Jaume de Llierca;2022;842
17165 Sant Jaume de Llierca;2021;852
17165 Sant Jaume de Llierca;2020;871
17167 Sant Joan de les Abadesses;2022;3274
17167 Sant Joan de les Abadesses;2021;3250
17167 Sant Joan de les Abadesses;2020;3224
17168 Sant Joan de Mollet;2022;515
17168 Sant Joan de Mollet;2021;501
17168 Sant Joan de Mollet;2020;498
17185 Sant Joan les Fonts;2022;3054
17185 Sant Joan les Fonts;2021;3050
17185 Sant Joan les Fonts;2020;3044
17166 Sant Jordi Desvalls;2022;830
17166 Sant Jordi Desvalls;2021;796
17166 Sant Jordi Desvalls;2020;760
17169 Sant Julià de Ramis;2022;3623
17169 Sant Julià de Ramis;2021;3612
17169 Sant Julià de Ramis;2020;3576
17903 Sant Julià del Llor i Bonmatí;2022;1347
17903 Sant Julià del Llor i Bonmatí;2021;1314
17903 Sant Julià del Llor i Bonmatí;2020;1313
17171 Sant Llorenç de la Muga;2022;267
17171 Sant Llorenç de la Muga;2021;267
17171 Sant Llorenç de la Muga;2020;265
17172 Sant Martí de Llémena;2022;679
17172 Sant Martí de Llémena;2021;663
17172 Sant Martí de Llémena;2020;641
17173 Sant Martí Vell;2022;261
17173 Sant Martí Vell;2021;244
17173 Sant Martí Vell;2020;251
17174 Sant Miquel de Campmajor;2022;239
17174 Sant Miquel de Campmajor;2021;243
17174 Sant Miquel de Campmajor;2020;229
17175 Sant Miquel de Fluvià;2022;808
17175 Sant Miquel de Fluvià;2021;755
17175 Sant Miquel de Fluvià;2020;761
17176 Sant Mori;2022;159
17176 Sant Mori;2021;157
17176 Sant Mori;2020;166
17177 Sant Pau de Segúries;2022;732
17177 Sant Pau de Segúries;2021;725
17177 Sant Pau de Segúries;2020;688
17178 Sant Pere Pescador;2022;2079
17178 Sant Pere Pescador;2021;2083
17178 Sant Pere Pescador;2020;2090
17180 Santa Coloma de Farners;2022;13557
17180 Santa Coloma de Farners;2021;13459
17180 Santa Coloma de Farners;2020;13363
17181 Santa Cristina d'Aro;2022;5585
17181 Santa Cristina d'Aro;2021;5408
17181 Santa Cristina d'Aro;2020;5287
17182 Santa Llogaia d'Àlguema;2022;379
17182 Santa Llogaia d'Àlguema;2021;378
17182 Santa Llogaia d'Àlguema;2020;368
17184 Santa Pau;2022;1605
