Periodo,Total,CP,Municipio
2022,34039,08217,SANT JOAN DESPÍ
2021,34130,08217,SANT JOAN DESPÍ
2020,34267,08217,SANT JOAN DESPÍ
2022,241,08903,SANT JULIÀ DE CERDANYOLA
2021,235,08903,SANT JULIÀ DE CERDANYOLA
2020,229,08903,SANT JULIÀ DE CERDANYOLA
2022,3193,08220,SANT JULIÀ DE VILATORTA
2021,3152,08220,SANT JULIÀ DE VILATORTA
2020,3140,08220,SANT JULIÀ DE VILATORTA
2022,19806,08221,SANT JUST DESVERN
2021,19379,08221,SANT JUST DESVERN
2020,18670,08221,SANT JUST DESVERN
2022,2503,08222,SANT LLORENÇ D'HORTONS
2021,2459,08222,SANT LLORENÇ D'HORTONS
2020,2428,08222,SANT LLORENÇ D'HORTONS
2022,2524,08223,SANT LLORENÇ SAVALL
2021,2514,08223,SANT LLORENÇ SAVALL
2020,2417,08223,SANT LLORENÇ SAVALL
2022,119,08225,SANT MARTÍ D'ALBARS
2021,107,08225,SANT MARTÍ D'ALBARS
2020,114,08225,SANT MARTÍ D'ALBARS
2022,1232,08224,SANT MARTÍ DE CENTELLES
2021,1186,08224,SANT MARTÍ DE CENTELLES
2020,1184,08224,SANT MARTÍ DE CENTELLES
2022,1243,08226,SANT MARTÍ DE TOUS
2021,1236,08226,SANT MARTÍ DE TOUS
2020,1228,08226,SANT MARTÍ DE TOUS
2022,3313,08227,SANT MARTÍ SARROCA
2021,3286,08227,SANT MARTÍ SARROCA
